Time_s,Command_deg,Response_deg,Error_deg,ActuatorCommand,Disturbance_deg_s2
0,0,0,0,0,0
0.02,0,0,0,0,0
0.04,0,0,0,0,0
0.06,0,0,0,0,0
0.08,0,0,0,0,0
0.1,0,0,0,0,0
0.12,0,0,0,0,0
0.14,0,0,0,0,0
0.16,0,0,0,0,0
0.18,0,0,0,0,0
0.2,0,0,0,0,0
0.22,0,0,0,0,0
0.24,0,0,0,0,0
0.26,0,0,0,0,0
0.28,0,0,0,0,0
0.3,0,0,0,0,0
0.32,0,0,0,0,0
0.34,0,0,0,0,0
0.36,0,0,0,0,0
0.38,0,0,0,0,0
0.4,0,0,0,0,0
0.42,0,0,0,0,0
0.44,0,0,0,0,0
0.46,0,0,0,0,0
0.48,0,0,0,0,0
0.5,0,0,0,0,0
0.52,0,0,0,0,0
0.54,0,0,0,0,0
0.56,0,0,0,0,0
0.58,0,0,0,0,0
0.6,0,0,0,0,0
0.62,0,0,0,0,0
0.64,0,0,0,0,0
0.66,0,0,0,0,0
0.68,0,0,0,0,0
0.7,0,0,0,0,0
0.72,0,0,0,0,0
0.74,0,0,0,0,0
0.76,0,0,0,0,0
0.78,0,0,0,0,0
0.8,0,0,0,0,0
0.82,0,0,0,0,0
0.84,0,0,0,0,0
0.86,0,0,0,0,0
0.88,0,0,0,0,0
0.9,0,0,0,0,0
0.92,0,0,0,0,0
0.94,0,0,0,0,0
0.96,0,0,0,0,0
0.98,0,0,0,0,0
1,5,0,5,0,0
1.02,5,0,5,0.315482049556891,0
1.04,5,0,5,0.59805069295754,0
1.06,5,0.000100954255858205,5,0.851167126479304,0
1.08,5,0.000390861831322226,4.99997766899766,1.07792856463437,0
1.1,5,0.000946185105448488,4.99989615026687,1.28110510773479,0
1.12,5,0.00183311776167872,4.99970982634212,1.46317322375,0
1.14,5,0.00310871766863456,4.9993685283146,1.62634607217552,0
1.16,5,0.00482191860942345,4.99882056344297,1.77260090415355,0
1.18,5,0.00701443347072959,4.9980148492653,1.90370377197038,0
1.2,5,0.00972156026469351,4.99690237586238,2.02123177466076,0
1.22,5,0.0129729012226328,4.99543716637809,2.12659305654499,0
1.24,5,0.016793004165473,4.99357686601049,2.22104476342056,0
1.26,5,0.0212019344157795,4.99128305884792,2.30570914779111,0
1.28,5,0.0262157846643731,4.98852138811463,2.38158800064016,0
1.3,5,0.0318471294342937,4.98526153703617,2.44957557334385,0
1.32,5,0.038105430089941,4.98147711341021,2.51047013971263,0
1.34,5,0.0449973957133228,4.97714547012251,2.56498433508993,0
1.36,5,0.0525273046064515,4.97224748553907,2.61375439706584,0
1.38,5,0.0606972906733739,4.96676732135931,2.65734842077131,0
1.4,5,0.0695075984817513,4.96069217068443,2.69627373094691,0
1.42,5,0.0789568103973744,4.95401200539345,2.73098346303634,0
1.44,5,0.0890420488209255,4.94671932915745,2.76188243642746,0
1.46,5,0.0997591562304831,4.93880894035235,2.78933239462139,0
1.48,5,0.111102855441868,4.9302777075898,2.81365667951572,0
1.5,5,0.123066892238459,4.92112435945113,2.83514440009426,0
1.52,5,0.135644162289376,4.9113492891823,2.85405414957646,0
1.54,5,0.148826824067102,4.90095437451599,2.87061731944349,0
1.56,5,0.162606399290026,4.88994281237165,2.88504105367811,0
1.58,5,0.176973862249823,4.87831896790187,2.89751088198285,0
1.6,5,0.191919719235761,4.86608823717055,2.90819306663189,0
1.62,5,0.207434079136271,4.85325692263785,2.91723669392331,0
1.64,5,0.223506716180491,4.8398321205708,2.92477553789056,0
1.66,5,0.240127125677705,4.82582161948025,2.93092972096841,0
1.68,5,0.257284573519112,4.81123380869388,2.93580719365563,0
1.7,5,0.274968140123034,4.79607759620315,2.93950505284297,0
1.72,5,0.293166759430432,4.78036233496169,2.94211071635297,0
1.74,5,0.311869253491362,4.76409775686068,2.94370296934127,0
1.76,5,0.331064363124063,4.7472939136584,2.94435289651512,0
1.78,5,0.350740775075768,4.72996112419425,2.94412471261202,0
1.8,5,0.370887146067517,4.71210992727107,2.94307650223073,0
1.82,5,0.3914921240635,4.69375103964121,2.94126087890243,0
1.84,5,0.412544367068294,4.67489531858121,2.93872557221392,0
1.86,5,0.434032559722221,4.65555372858706,2.9355139508367,0
1.88,5,0.455945427935562,4.63573731176551,2.9316654884598,0
1.9,5,0.47827175177605,4.61545716153776,2.92721617886227,0
1.92,5,0.501000376800675,4.59472439930918,2.92219890568128,0
1.94,5,0.524120224001944,4.57355015379301,2.91664377182572,0
1.96,5,0.5476202985202,4.55194554270765,2.91057839294538,0
1.98,5,0.571489697257003,4.52992165659521,2.90402815888424,0
2,5,0.595717615509865,4.50748954453543,2.89701646661755,0
2.02,5,0.620293352735501,4.48466020155199,2.88956492779031,0
2.04,5,0.64520631753704,4.46144455752972,2.88169355363401,0
2.06,5,0.670446031960234,4.43785346748021,2.87342091973533,0
2.08,5,0.696002135174435,4.41389770301022,2.86476431286,0
2.1,5,0.72186438660581,4.3895879448632,2.85573986179427,0
2.12,5,0.748022668582948,4.36493477641739,2.84636265395207,0
2.14,5,0.774466988548408,4.33994867803706,2.83664683930465,0
2.16,5,0.801187480883962,4.31464002218399,2.82660572301935,0
2.18,5,0.82817440839204,4.28901906920656,2.81625184804252,0
2.2,5,0.855418163471291,4.26309596373261,2.80559706872672,0
2.22,5,0.882909269020013,4.23688073160013,2.79465261648155,0
2.24,5,0.910638379097558,4.21038327726708,2.78342915832104,0
2.26,5,0.938596279370516,4.18361338164782,2.77193684908434,0
2.28,5,0.966773887367586,4.15658070032946,2.76018537802203,0
2.3,5,0.995162252564434,4.12929476212632,2.74818401036431,0
2.32,5,1.02375255631752,4.10176496793546,2.73594162442003,0
2.34,5,1.05253611166386,4.07400058985988,2.72346674469556,0
2.36,5,1.08150436300169,4.0460107705701,2.71076757146873,0
2.38,5,1.11064888566572,4.01780452287748,2.69785200720574,0
2.4,5,1.13996138540868,3.98939072949591,2.6847276801663,0
2.42,5,1.16943369780012,3.96077814297096,2.6714019655046,0
2.44,5,1.19905778755182,3.93197538575757,2.65788200413997,0
2.46,5,1.22882574777843,3.90299095042986,2.6441747196411,0
2.48,5,1.25872979920094,3.87383320000807,2.63028683334119,0
2.5,5,1.28876228929958,3.84451036838933,2.61622487787728,0
2.52,5,1.31891569142253,3.81503056087055,2.60199520932623,0
2.54,5,1.34918260385545,3.7854017547528,2.58760401809062,0
2.56,5,1.37955574885697,3.75563180001782,2.5730573386713,0
2.58,5,1.41002797166423,3.72572842006822,2.55836105844812,0
2.6,5,1.4405922394725,3.69569921252395,2.54352092557741,0
2.62,5,1.47124164039207,3.66555165006827,2.52854255610243,0
2.64,5,1.50196938238576,3.63529308133736,2.51343144036293,0
2.66,5,1.53276879218955,3.60493073184811,2.4981929487802,0
2.68,5,1.56363331421897,3.57447170495954,2.48283233708579,0
2.7,5,1.59455650946329,3.54392298286335,2.46735475105455,0
2.72,5,1.62553205436961,3.51329142760003,2.45176523079603,0
2.74,5,1.65655373971852,3.48258378209704,2.43606871465234,0
2.76,5,1.68761546949291,3.45180667122605,2.42027004274525,0
2.78,5,1.71871125974141,3.42096660287651,2.40437396021083,0
2.8,5,1.74983523743761,3.39006996904317,2.38838512015531,0
2.82,5,1.78098163933638,3.35912304692539,2.3723080863627,0
2.84,5,1.81214481082803,3.32813200003626,2.35614733578087,0
2.86,5,1.84331920479151,3.29710287931984,2.33990726081019,0
2.88,5,1.87449938044732,3.26604162427492,2.32359217141592,0
2.9,5,1.90568000221085,3.23495406408401,2.30720629708357,0
2.92,5,1.93685583854691,3.2038459187461,2.29075378863392,0
2.94,5,1.96802176082596,3.17272280021241,2.27423871991285,0
2.96,5,1.99917274218269,3.14159021352376,2.25766508936945,0
2.98,5,2.03030385637722,3.11045355794894,2.24103682153416,0
3,5,2.06141027665969,3.0793181281231,2.22435776840778,0
3.02,5,2.09248727463826,3.04818911518554,2.20763171077058,0
3.04,5,2.12353021915124,3.01707160791617,2.19086235942012,0
3.06,5,2.15453457514336,2.98597059387013,2.17405335634508,0
3.08,5,2.18549590254668,2.95489096050993,2.15720827584193,0
3.1,5,2.21640985516635,2.92383749633474,2.14033062558022,0
3.12,5,2.24727217957142,2.89281489200639,2.12342384762191,0
3.14,5,2.27807871399095,2.86182774147156,2.10649131939927,0
3.16,5,2.30882538721565,2.83088054308,2.08953635465563,0
3.18,5,2.33950821750517,2.79997770069832,2.07256220435273,0
3.2,5,2.37012331150122,2.76912352481914,2.0555720575478,0
3.22,5,2.40066686314677,2.73832223366529,2.0385690422435,0
3.24,5,2.43113515261124,2.70757795428885,2.02155622621322,0
3.26,5,2.46152454522208,2.67689472366482,2.00453661780407,0
3.28,5,2.49183149040264,2.64627648977921,1.98751316671965,0
3.3,5,2.52205252061657,2.61572711271139,1.97048876478441,0
3.32,5,2.55218425031872,2.58525036571054,1.95346624669128,0
3.34,5,2.58222337491275,2.55484993626598,1.93644839073393,0
3.36,5,2.61216666971546,2.52452942717144,1.91943791952503,0
3.38,5,2.64201098892794,2.49429235758286,1.90243750070158,0
3.4,5,2.67175326461357,2.46414216406993,1.88544974761841,0
3.42,5,2.70139050568296,2.43408220166096,1.86847722003065,0
3.44,5,2.73091979688593,2.40411574488129,1.85152242476604,0
3.46,5,2.76033829781044,2.37424598878485,1.83458781638781,0
3.48,5,2.78964324188869,2.34447604997908,1.81767579784859,0
3.5,5,2.8188319354103,2.31480896764291,1.80078872113619,0
3.52,5,2.84790175654271,2.28524770453791,1.78392888791148,0
3.54,5,2.8768501543587,2.25579514801241,1.76709855013895,0
3.56,5,2.90567464787123,2.22645411099867,1.75029991071028,0
3.58,5,2.93437282507552,2.1972273330029,1.73353512406132,0
3.6,5,2.96294234199832,2.16811748108827,1.71680629678272,0
3.62,5,2.99138092175468,2.13912715085072,1.70011548822448,0
3.64,5,3.01968635361186,2.11025886738754,1.68346471109479,0
3.66,5,3.0478564920607,2.08151508625886,1.6668559320531,0
3.68,5,3.07588925589431,2.05289819444176,1.65029107229791,0
3.7,5,3.10378262729418,2.02441051127719,1.63377200814923,0
3.72,5,3.13153465092358,1.99605428940959,1.61730057162596,0
3.74,5,3.15914343302848,1.96783171571914,1.60087855101823,0
3.76,5,3.18660714054579,1.93974491224677,1.58450769145496,0
3.78,5,3.21392400021901,1.91179593711174,1.5681896954665,0
3.8,5,3.24109229772134,1.88398678542186,1.55192622354278,0
3.82,5,3.26811037678616,1.85631939017644,1.53571889468665,0
3.84,5,3.29497663834496,1.82879562316171,1.51956928696279,0
3.86,5,3.32168953967264,1.80141729583895,1.50347893804212,0
3.88,5,3.34824759354029,1.77418616022523,1.48744934574177,0
3.9,5,3.37464936737529,1.74710390976667,1.47148196856065,0
3.92,5,3.40089348242889,1.72017218020437,1.45557822621067,0
3.94,5,3.42697861295114,1.69339255043295,1.43973950014371,0
3.96,5,3.45290348537325,1.66676654335161,1.42396713407425,0
3.98,5,3.47866687749727,1.64029562670785,1.40826243449774,0
4,5,3.50426761769321,1.61398121393381,1.39262667120485,0
4.02,5,3.5297045841035,1.58782466497519,1.37706107779137,0
4.04,5,3.55497670385472,1.56182728711278,1.36156685216403,0
4.06,5,3.58008295227681,1.53599033577663,1.34614515704214,0
4.08,5,3.60502235212946,1.51031501535289,1.33079712045505,0
4.1,5,3.62979397283589,1.48480247998319,1.31552383623549,0
4.12,5,3.65439692972392,1.45945383435681,1.3003263645088,0
4.14,5,3.67883038327424,1.43427013449543,1.28520573217804,0
4.16,5,3.70309353837598,1.40925238853056,1.27016293340499,0
4.18,5,3.72718564358959,1.38440155747372,1.25519893008709,0
4.2,5,3.75110599041675,1.35971855597926,1.24031465233027,0
4.22,5,3.77485391257769,1.3352042531,1.22551099891774,0
4.24,5,3.79842878529552,1.31085947303549,1.2107888377747,0
4.26,5,3.82183002458777,1.28668499587318,1.196149006429,0
4.28,5,3.84505708656509,1.26268155832223,1.18159231246778,0
4.3,5,3.86810946673702,1.23884985444021,1.16711953399005,0
4.32,5,3.89098669932481,1.21519053635259,1.15273142005527,0
4.34,5,3.91368835658137,1.19170421496511,1.13842869112788,0
4.36,5,3.93621404811819,1.16839146066894,1.12421203951783,0
4.38,5,3.95856342023928,1.14525280403881,1.11008212981717,0
4.4,5,3.98073615528212,1.12228873652401,1.09603959933257,0
4.42,5,4.00273197096547,1.09949971113234,1.08208505851389,0
4.44,5,4.0245506197442,1.07688614310701,1.06821909137878,0
4.46,5,4.04619188817098,1.05444841059655,1.05444225593333,0
4.48,5,4.06765559626474,1.03218685531771,1.04075508458876,0
4.5,5,4.08894159688616,1.01010178321144,1.02715808457415,0
4.52,5,4.11004977511973,0.988193465091892,1.01365173834525,0
4.54,5,4.13098004766276,0.966462137288553,1.00023650398939,0
4.56,5,4.15173236222103,0.94490800228151,0.986912815626444,0
4.58,5,4.17230669691118,0.923531229329854,0.973681083805922,0
4.6,5,4.19270305966976,0.902331955093278,0.960541695900169,0
4.62,5,4.21292148766895,0.881310284246896,0.94749501649368,0
4.64,5,4.23296204673886,0.860466290089317,0.934541387768566,0
4.66,5,4.25282483079636,0.839800015143984,0.921681129886155,0
4.68,5,4.27250996128057,0.819311471753848,0.908914541364772,0
4.7,5,4.29201758659472,0.799000642669374,0.896241899453683,0
4.72,5,4.31134788155456,0.77886748162993,0.883663460503232,0
4.74,5,4.3305010468432,0.75891191393859,0.871179460331188,0
