Model,ModelFile,Solver,SolverType,FixedStep,StopTime
AircraftFeedbackControlLoop,D:\GitHub\aviation-controls-simulink-training\models\AircraftFeedbackControlLoop.slx,FixedStepDiscrete,Fixed-step,Sample_time,12
AutopilotModeLogic,D:\GitHub\aviation-controls-simulink-training\models\AutopilotModeLogic.slx,FixedStepDiscrete,Fixed-step,Sample_time,8
ReferencedFlightControlArchitecture,D:\GitHub\aviation-controls-simulink-training\models\ReferencedFlightControlArchitecture.slx,FixedStepDiscrete,Fixed-step,Sample_time,4
ActuatorCommandRef,D:\GitHub\aviation-controls-simulink-training\models\ActuatorCommandRef.slx,FixedStepDiscrete,Fixed-step,Sample_time,2
PitchControllerRef,D:\GitHub\aviation-controls-simulink-training\models\PitchControllerRef.slx,FixedStepDiscrete,Fixed-step,Sample_time,2
PitchRateLimiter,D:\GitHub\aviation-controls-simulink-training\models\PitchRateLimiter.slx,FixedStepDiscrete,Fixed-step,Sample_time,4
SensorProcessingRef,D:\GitHub\aviation-controls-simulink-training\models\SensorProcessingRef.slx,FixedStepDiscrete,Fixed-step,Sample_time,2
